Item_Identifier,Item_Fat_Content,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Gender,Age,Profession,Item_Outlet_Sales
FDC17,Low Fat,Frozen Foods,209.9928,OUT035,Small,Tier 2,Supermarket Type1,Female,89,Lawyer,5259.82
FDD45,low fat,Fruits and Vegetables,94.1436,OUT013,High,Tier 3,Supermarket Type1,Male,45,Doctor,1512.6976
FDD41,Regular,Frozen Foods,105.0306,OUT046,Small,Tier 1,Supermarket Type1,Female,50,Artist,2090.612
FDU46,Regular,Snack Foods,87.254,OUT046,Small,Tier 1,Supermarket Type1,Male,43,Healthcare,1211.756
FDO45,Regular,Snack Foods,89.4856,OUT017,,Tier 2,Supermarket Type1,Male,50,Executive,1230.3984
FDG41,Regular,Frozen Foods,109.5228,OUT035,Small,Tier 2,Supermarket Type1,Female,53,Entertainment,1657.842
DRC13,Regular,Soft Drinks,122.573,OUT045,,Tier 2,Supermarket Type1,Female,37,Engineer,739.038
FDX50,Low Fat,Dairy,108.9228,OUT018,Medium,Tier 3,Supermarket Type2,Male,40,Artist,1105.228
FDK56,Low Fat,Fruits and Vegetables,185.1898,OUT035,Small,Tier 2,Supermarket Type1,Male,76,Lawyer,2619.2572
NCL18,Low Fat,Household,194.6136,OUT046,Small,Tier 1,Supermarket Type1,Female,27,Homemaker,2721.7904
FDN57,Low Fat,Snack Foods,140.9154,OUT049,Medium,Tier 1,Supermarket Type1,Male,41,Artist,6381.693
FDX03,Regular,Meat,44.4744,OUT027,Medium,Tier 3,Supermarket Type3,Male,50,Entertainment,769.6648
NCU17,Low Fat,Health and Hygiene,101.7674,OUT013,High,Tier 3,Supermarket Type1,Male,56,Executive,1120.5414
FDL14,reg,Canned,157.3972,OUT035,Small,Tier 2,Supermarket Type1,Male,28,Entertainment,1869.5664
NCU18,Low Fat,Household,139.8496,OUT046,Small,Tier 1,Supermarket Type1,Female,46,Marketing,1411.496
NCH43,Low Fat,Household,215.9192,OUT017,,Tier 2,Supermarket Type1,Female,72,Doctor,1941.4728
FDH41,Low Fat,Frozen Foods,216.2534,OUT035,Small,Tier 2,Supermarket Type1,Female,41,Doctor,4301.068
FDS28,Regular,Frozen Foods,57.3588,OUT018,Medium,Tier 3,Supermarket Type2,Male,28,Artist,343.5528
FDG02,Low Fat,Canned,191.4188,OUT027,Medium,Tier 3,Supermarket Type3,Female,27,Artist,3998.7948
FDS40,Low Fat,Frozen Foods,36.719,OUT045,,Tier 2,Supermarket Type1,Female,32,Healthcare,585.904
FDD10,Regular,Snack Foods,177.0344,OUT013,High,Tier 3,Supermarket Type1,Female,20,Doctor,535.3032
DRQ35,Low Fat,Hard Drinks,124.4388,OUT013,High,Tier 3,Supermarket Type1,Male,45,Executive,1609.9044
NCL05,Low Fat,Health and Hygiene,42.877,OUT049,Medium,Tier 1,Supermarket Type1,Male,59,Artist,649.155
FDJ48,Low Fat,Baking Goods,247.8118,OUT035,Small,Tier 2,Supermarket Type1,Female,46,Marketing,2223.1062
FDV21,Low Fat,Snack Foods,124.8704,OUT027,Medium,Tier 3,Supermarket Type3,Male,46,Artist,2127.8968
FDJ26,Regular,Canned,215.5218,OUT035,Small,Tier 2,Supermarket Type1,Male,41,Artist,4060.7142
NCN05,Low Fat,Health and Hygiene,184.495,OUT017,,Tier 2,Supermarket Type1,Male,70,Lawyer,3844.995
FDK09,Low Fat,Snack Foods,228.5352,OUT046,Small,Tier 1,Supermarket Type1,Female,25,Homemaker,1832.2816
FDM56,low fat,Fruits and Vegetables,110.9912,OUT027,Medium,Tier 3,Supermarket Type3,Male,42,Artist,1310.2944
DRF25,Low Fat,Soft Drinks,37.019,OUT045,,Tier 2,Supermarket Type1,Female,60,Engineer,659.142
FDG14,reg,Canned,150.9024,OUT045,,Tier 2,Supermarket Type1,Male,37,Engineer,4402.2696
FDZ31,Regular,Fruits and Vegetables,190.8504,OUT035,Small,Tier 2,Supermarket Type1,Male,18,Healthcare,3643.2576
FDU21,Regular,Snack Foods,35.0558,OUT019,Small,Tier 1,Grocery Store,Male,52,Artist,33.9558
FDC57,Regular,Fruits and Vegetables,193.382,OUT035,Small,Tier 2,Supermarket Type1,Female,32,Artist,4247.804
FDU46,Regular,Snack Foods,87.854,OUT010,,Tier 3,Grocery Store,Male,74,Lawyer,259.662
FDU22,Low Fat,Snack Foods,118.7124,OUT035,Small,Tier 2,Supermarket Type1,Male,29,Healthcare,2607.2728
DRG23,Low Fat,Hard Drinks,152.5682,OUT045,,Tier 2,Supermarket Type1,Male,37,Entertainment,1372.2138
FDR23,Low Fat,Breads,176.437,OUT010,,Tier 3,Grocery Store,Male,45,Entertainment,529.311
FDI14,Low Fat,Canned,140.1496,OUT018,Medium,Tier 3,Supermarket Type2,Male,22,Healthcare,846.8976
NCN42,Low Fat,Household,148.6418,OUT045,,Tier 2,Supermarket Type1,Female,60,Engineer,2648.5524
NCM41,Low Fat,Health and Hygiene,93.612,OUT049,Medium,Tier 1,Supermarket Type1,Female,51,Artist,1584.604
FDT55,Regular,Fruits and Vegetables,156.7946,OUT046,Small,Tier 1,Supermarket Type1,Male,59,Artist,3629.2758
DRY23,Regular,Soft Drinks,42.9112,OUT027,Medium,Tier 3,Supermarket Type3,Male,55,Artist,809.6128
FDL46,Low Fat,Snack Foods,119.5466,OUT010,,Tier 3,Grocery Store,Male,22,Healthcare,117.8466
FDQ57,Low Fat,Snack Foods,145.076,OUT035,Small,Tier 2,Supermarket Type1,Male,18,Artist,1611.236
FDQ16,Low Fat,Frozen Foods,109.2912,OUT035,Small,Tier 2,Supermarket Type1,Female,84,Lawyer,2402.2064
FDZ52,Low Fat,Frozen Foods,109.1886,OUT027,Medium,Tier 3,Supermarket Type3,Male,35,Artist,4225.1668
FDL16,Low Fat,Frozen Foods,47.106,OUT019,Small,Tier 1,Grocery Store,Male,50,Entertainment,139.818
NCX18,Low Fat,Household,196.811,OUT018,Medium,Tier 3,Supermarket Type2,Male,73,Artist,4517.453
FDM34,Low Fat,Snack Foods,130.8626,OUT018,Medium,Tier 3,Supermarket Type2,Female,23,Engineer,1573.9512
FDG60,Low Fat,Baking Goods,234.5616,OUT027,Medium,Tier 3,Supermarket Type3,Male,30,Entertainment,6796.4864
NCA06,Low Fat,Household,37.119,OUT018,Medium,Tier 3,Supermarket Type2,Female,21,Healthcare,842.237
DRD12,Low Fat,Soft Drinks,89.9146,OUT046,Small,Tier 1,Supermarket Type1,Male,18,Healthcare,1277.0044
FDP04,Low Fat,Frozen Foods,62.5168,OUT018,Medium,Tier 3,Supermarket Type2,Male,46,Artist,447.4176
NCH30,Low Fat,Household,114.586,OUT045,,Tier 2,Supermarket Type1,Male,32,Entertainment,1584.604
FDS04,Regular,Frozen Foods,142.2838,OUT045,,Tier 2,Supermarket Type1,Female,36,Healthcare,1685.8056
FDQ13,Low Fat,Canned,82.9908,OUT019,Small,Tier 1,Grocery Store,Male,37,Doctor,503.3448
FDU59,Low Fat,Breads,162.8552,OUT049,Medium,Tier 1,Supermarket Type1,Male,42,Entertainment,3574.0144
DRG11,Low Fat,Hard Drinks,108.2596,OUT045,,Tier 2,Supermarket Type1,Male,35,Doctor,1186.4556
FDA36,Low Fat,Baking Goods,184.9924,OUT027,Medium,Tier 3,Supermarket Type3,Female,42,Healthcare,3146.5708
FDA15,Low Fat,Dairy,248.5092,OUT035,Small,Tier 2,Supermarket Type1,Female,33,Homemaker,6474.2392
FDZ03,Regular,Dairy,188.024,OUT010,,Tier 3,Grocery Store,Female,35,Engineer,745.696
FDJ16,LF,Frozen Foods,59.0246,OUT035,Small,Tier 2,Supermarket Type1,Female,59,Artist,1853.5872
FDZ12,Low Fat,Baking Goods,141.747,OUT049,Medium,Tier 1,Supermarket Type1,Male,70,Artist,3006.087
FDH09,Low Fat,Seafood,53.2982,OUT045,,Tier 2,Supermarket Type1,Male,53,Entertainment,736.3748
FDT13,Low Fat,Canned,188.7214,OUT017,,Tier 2,Supermarket Type1,Female,80,Lawyer,3956.8494
FDU20,Regular,Fruits and Vegetables,120.5098,OUT017,,Tier 2,Supermarket Type1,Male,56,Executive,1807.647
DRH25,Low Fat,Soft Drinks,52.2324,OUT035,Small,Tier 2,Supermarket Type1,Male,39,Artist,467.3916
FDK26,Regular,Canned,187.624,OUT045,,Tier 2,Supermarket Type1,Female,73,Artist,3542.056
FDU32,Low Fat,Fruits and Vegetables,120.9414,OUT035,Small,Tier 2,Supermarket Type1,Female,58,Artist,1949.4624
FDI22,Low Fat,Snack Foods,210.8612,OUT045,,Tier 2,Supermarket Type1,Female,30,Homemaker,3344.9792
NCB54,Low Fat,Health and Hygiene,127.3336,OUT018,Medium,Tier 3,Supermarket Type2,Female,23,Healthcare,2684.5056
FDX46,Regular,Snack Foods,58.7562,OUT045,,Tier 2,Supermarket Type1,Male,59,Artist,592.562
NCC07,Low Fat,Household,103.1964,OUT013,High,Tier 3,Supermarket Type1,Female,56,Doctor,736.3748
FDQ34,LF,Snack Foods,105.5622,OUT019,Small,Tier 1,Grocery Store,Female,40,Artist,211.7244
FDM16,Regular,Frozen Foods,76.2354,OUT018,Medium,Tier 3,Supermarket Type2,Female,68,Artist,1279.0018
FDJ55,Regular,Meat,223.8404,OUT027,Medium,Tier 3,Supermarket Type3,Male,29,Artist,7201.2928
DRI01,Low Fat,Soft Drinks,171.2422,OUT017,,Tier 2,Supermarket Type1,Female,55,Artist,3103.9596
FDD50,Low Fat,Canned,167.6132,OUT018,Medium,Tier 3,Supermarket Type2,Male,21,Healthcare,1522.0188
FDJ08,Low Fat,Fruits and Vegetables,191.5846,OUT045,,Tier 2,Supermarket Type1,Female,19,Engineer,2101.9306
NCK18,Low Fat,Household,164.6184,OUT049,Medium,Tier 1,Supermarket Type1,Female,41,Healthcare,2972.1312
FDQ14,Low Fat,Dairy,148.105,OUT010,,Tier 3,Grocery Store,Male,41,Artist,149.805
FDS51,Low Fat,Meat,61.2194,OUT046,Small,Tier 1,Supermarket Type1,Male,33,Doctor,433.4358
FDA04,Regular,Frozen Foods,260.8962,OUT035,Small,Tier 2,Supermarket Type1,Male,31,Artist,4920.9278
FDP10,Low Fat,Snack Foods,107.6622,OUT017,,Tier 2,Supermarket Type1,Male,41,Artist,1164.4842
FDT36,Low Fat,Baking Goods,35.6874,OUT045,,Tier 2,Supermarket Type1,Male,35,Executive,846.8976
FDH38,Low Fat,Canned,118.3808,OUT017,,Tier 2,Supermarket Type1,Male,41,Entertainment,2812.3392
FDC16,Regular,Dairy,84.954,OUT018,Medium,Tier 3,Supermarket Type2,Male,81,Lawyer,865.54
FDF17,Low Fat,Frozen Foods,195.911,OUT049,Medium,Tier 1,Supermarket Type1,Male,26,Healthcare,2946.165
FDU23,Low Fat,Breads,163.5184,OUT013,High,Tier 3,Supermarket Type1,Male,42,Executive,3137.2496
FDB34,Low Fat,Snack Foods,86.6198,OUT049,Medium,Tier 1,Supermarket Type1,Female,53,Artist,1657.1762
FDW26,Regular,Dairy,221.6772,OUT013,High,Tier 3,Supermarket Type1,Female,33,Entertainment,3113.2808
FDP45,Regular,Snack Foods,253.4724,OUT045,,Tier 2,Supermarket Type1,Male,39,Artist,1510.0344
FDD38,Regular,Canned,103.5674,OUT046,Small,Tier 1,Supermarket Type1,Male,83,Executive,1629.8784
FDM60,Regular,Baking Goods,42.2138,OUT049,Medium,Tier 1,Supermarket Type1,Female,25,Artist,690.4346
FDW26,Regular,Dairy,220.3772,OUT035,Small,Tier 2,Supermarket Type1,Male,40,Entertainment,4447.544
FDV51,Low Fat,Meat,166.1842,OUT027,Medium,Tier 3,Supermarket Type3,Female,22,Healthcare,5470.8786
FDT33,Regular,Snack Foods,168.7158,OUT049,Medium,Tier 1,Supermarket Type1,Female,37,Artist,2673.8528
FDQ40,Regular,Frozen Foods,177.2712,OUT046,Small,Tier 1,Supermarket Type1,Female,65,Artist,3339.6528
FDX40,Low Fat,Frozen Foods,38.3164,OUT035,Small,Tier 2,Supermarket Type1,Male,49,Artist,502.0132
FDU31,Regular,Fruits and Vegetables,216.7508,OUT035,Small,Tier 2,Supermarket Type1,Female,38,Engineer,3038.7112
DRJ01,Low Fat,Soft Drinks,161.0236,OUT046,Small,Tier 1,Supermarket Type1,Female,65,Artist,1288.9888
FDP11,Low Fat,Breads,216.9166,OUT027,Medium,Tier 3,Supermarket Type3,Female,48,Engineer,4354.332
NCN43,Low Fat,Others,125.173,OUT027,Medium,Tier 3,Supermarket Type3,Male,52,Entertainment,3202.498
FDA15,Low Fat,Dairy,249.6092,OUT018,Medium,Tier 3,Supermarket Type2,Male,73,Lawyer,5976.2208
FDO04,Low Fat,Frozen Foods,54.6614,OUT017,,Tier 2,Supermarket Type1,Female,48,Engineer,884.1824
NCF43,Low Fat,Household,142.947,OUT035,Small,Tier 2,Supermarket Type1,Male,25,Doctor,3006.087
NCI17,Low Fat,Health and Hygiene,95.441,OUT017,,Tier 2,Supermarket Type1,Male,31,Healthcare,3282.394
FDY47,Regular,Breads,128.831,OUT013,High,Tier 3,Supermarket Type1,Male,25,Entertainment,1038.648
FDF20,Low Fat,Fruits and Vegetables,196.4768,OUT027,Medium,Tier 3,Supermarket Type3,Male,21,Doctor,6306.4576
NCS53,Low Fat,Health and Hygiene,158.4604,OUT046,Small,Tier 1,Supermarket Type1,Male,20,Healthcare,2693.8268
FDK38,Low Fat,Canned,149.5734,OUT049,Medium,Tier 1,Supermarket Type1,Male,25,Executive,2524.0478
FDW43,Regular,Fruits and Vegetables,225.9036,OUT013,High,Tier 3,Supermarket Type1,Male,25,Artist,3643.2576
FDV57,Regular,Snack Foods,179.266,OUT046,Small,Tier 1,Supermarket Type1,Male,29,Entertainment,1438.128
FDX26,Low Fat,Dairy,182.3292,OUT017,,Tier 2,Supermarket Type1,Female,72,Entertainment,4195.8716
FDR04,Low Fat,Frozen Foods,97.3068,OUT046,Small,Tier 1,Supermarket Type1,Male,48,Artist,1263.6884
FDP19,Low Fat,Fruits and Vegetables,129.3652,OUT013,High,Tier 3,Supermarket Type1,Male,28,Doctor,2066.6432
FDT07,Regular,Fruits and Vegetables,254.533,OUT017,,Tier 2,Supermarket Type1,Female,42,Artist,1281.665
DRB24,Low Fat,Soft Drinks,155.1656,OUT049,Medium,Tier 1,Supermarket Type1,Female,32,Artist,4016.1056
FDB36,Regular,Baking Goods,129.1626,OUT046,Small,Tier 1,Supermarket Type1,Male,49,Artist,3672.5528
NCE07,Low Fat,Household,140.9154,OUT027,Medium,Tier 3,Supermarket Type3,Female,55,Artist,2127.231
FDI16,reg,Frozen Foods,52.564,OUT027,Medium,Tier 3,Supermarket Type3,Female,40,Artist,2290.352
FDP45,Regular,Snack Foods,252.2724,OUT046,Small,Tier 1,Supermarket Type1,Female,37,Doctor,1258.362
NCC43,low fat,Household,251.9066,OUT013,High,Tier 3,Supermarket Type1,Male,27,Healthcare,4267.1122
FDQ23,Low Fat,Breads,102.9332,OUT019,Small,Tier 1,Grocery Store,Female,32,Homemaker,102.5332
FDW24,Low Fat,Baking Goods,48.6034,OUT035,Small,Tier 2,Supermarket Type1,Male,36,Executive,291.6204
FDW09,Regular,Snack Foods,80.2302,OUT027,Medium,Tier 3,Supermarket Type3,Female,28,Homemaker,2139.2154
FDN10,Low Fat,Snack Foods,120.2124,OUT035,Small,Tier 2,Supermarket Type1,Male,72,Entertainment,1540.6612
FDE23,Regular,Starchy Foods,45.606,OUT035,Small,Tier 2,Supermarket Type1,Male,18,Entertainment,1724.422
FDV16,Regular,Frozen Foods,34.9558,OUT035,Small,Tier 2,Supermarket Type1,Female,36,Artist,645.1602
FDF12,Low Fat,Baking Goods,148.6076,OUT027,Medium,Tier 3,Supermarket Type3,Female,29,Homemaker,3990.8052
FDN21,Low Fat,Snack Foods,161.8236,OUT049,Medium,Tier 1,Supermarket Type1,Female,88,Lawyer,1611.236
DRC25,Low Fat,Soft Drinks,86.0882,OUT046,Small,Tier 1,Supermarket Type1,Female,38,Engineer,1116.5466
NCP18,Low Fat,Household,149.0708,OUT049,Medium,Tier 1,Supermarket Type1,Male,87,Lawyer,1203.7664
FDW60,Regular,Baking Goods,174.637,OUT013,High,Tier 3,Supermarket Type1,Male,51,Artist,2999.429
FDY04,Regular,Frozen Foods,165.021,OUT045,,Tier 2,Supermarket Type1,Male,51,Entertainment,3425.541
NCJ31,LF,Others,240.6196,OUT027,Medium,Tier 3,Supermarket Type3,Male,31,Artist,4579.3724
DRN47,Low Fat,Hard Drinks,180.666,OUT013,High,Tier 3,Supermarket Type1,Female,47,Artist,4134.618
FDU13,Low Fat,Canned,145.6418,OUT013,High,Tier 3,Supermarket Type1,Female,70,Artist,3384.2614
FDT39,reg,Meat,151.1366,OUT010,,Tier 3,Grocery Store,Male,31,Healthcare,453.4098
NCQ18,Low Fat,Household,101.37,OUT013,High,Tier 3,Supermarket Type1,Male,29,Healthcare,2097.27
FDV25,low fat,Canned,221.5456,OUT013,High,Tier 3,Supermarket Type1,Female,20,Healthcare,6852.4136
NCE30,Low Fat,Household,210.3902,OUT046,Small,Tier 1,Supermarket Type1,Female,41,Artist,1486.7314
NCN42,Low Fat,Household,148.9418,OUT046,Small,Tier 1,Supermarket Type1,Male,68,Entertainment,3531.4032
FDW25,Low Fat,Canned,83.4224,OUT049,Medium,Tier 1,Supermarket Type1,Male,28,Artist,1448.7808
FDS49,Low Fat,Canned,77.2644,OUT013,High,Tier 3,Supermarket Type1,Male,32,Doctor,1335.5948
FDN34,Regular,Snack Foods,168.2132,OUT049,Medium,Tier 1,Supermarket Type1,Male,75,Lawyer,2367.5848
FDS45,Regular,Snack Foods,107.7622,OUT018,Medium,Tier 3,Supermarket Type2,Female,39,Healthcare,2011.3818
NCL53,Low Fat,Health and Hygiene,175.4028,OUT027,Medium,Tier 3,Supermarket Type3,Male,18,Healthcare,6729.9064
FDT38,Low Fat,Dairy,83.3566,OUT049,Medium,Tier 1,Supermarket Type1,Female,42,Artist,1860.2452
NCX06,Low Fat,Household,182.6976,OUT046,Small,Tier 1,Supermarket Type1,Male,48,Executive,3440.8544
NCY17,Low Fat,Health and Hygiene,43.5086,OUT013,High,Tier 3,Supermarket Type1,Female,70,Artist,1070.6064
NCO18,Low Fat,Household,179.5686,OUT046,Small,Tier 1,Supermarket Type1,Male,45,Artist,1422.1488
FDY47,Regular,Breads,130.231,OUT010,,Tier 3,Grocery Store,Female,29,Healthcare,129.831
FDF57,Regular,Fruits and Vegetables,168.6448,OUT027,Medium,Tier 3,Supermarket Type3,Male,50,Entertainment,3408.896
FDS26,Low Fat,Dairy,262.1594,OUT049,Medium,Tier 1,Supermarket Type1,Female,22,Healthcare,3139.9128
NCL17,Low Fat,Health and Hygiene,140.6812,OUT035,Small,Tier 2,Supermarket Type1,Male,46,Artist,3704.5112
NCB18,Low Fat,Household,88.7514,OUT049,Medium,Tier 1,Supermarket Type1,Male,39,Artist,2656.542
FDA50,LF,Dairy,95.441,OUT010,,Tier 3,Grocery Store,Female,81,Lawyer,193.082
DRE13,Low Fat,Soft Drinks,86.5198,OUT049,Medium,Tier 1,Supermarket Type1,Female,49,Artist,1395.5168
DRE60,Low Fat,Soft Drinks,226.072,OUT013,High,Tier 3,Supermarket Type1,Male,43,Doctor,3621.952
FDB20,Low Fat,Fruits and Vegetables,79.1986,OUT017,,Tier 2,Supermarket Type1,Male,66,Artist,778.986
NCS18,Low Fat,Household,106.4938,OUT013,High,Tier 3,Supermarket Type1,Female,53,Artist,2465.4574
FDH19,Low Fat,Meat,175.1738,OUT019,Small,Tier 1,Grocery Store,Female,29,Artist,347.5476
FDS47,Low Fat,Breads,88.7856,OUT045,,Tier 2,Supermarket Type1,Female,86,Lawyer,966.7416
FDC09,Regular,Fruits and Vegetables,102.3332,OUT013,High,Tier 3,Supermarket Type1,Male,70,Artist,922.7988
DRG23,Low Fat,Hard Drinks,153.3682,OUT049,Medium,Tier 1,Supermarket Type1,Female,36,Artist,1219.7456
FDU34,Low Fat,Snack Foods,126.3046,OUT045,,Tier 2,Supermarket Type1,Male,35,Artist,747.0276
FDZ40,Low Fat,Frozen Foods,52.9298,OUT017,,Tier 2,Supermarket Type1,Female,42,Artist,539.298
NCE30,Low Fat,Household,210.7902,OUT035,Small,Tier 2,Supermarket Type1,Female,49,Doctor,4460.1942
FDA44,LF,Fruits and Vegetables,55.093,OUT018,Medium,Tier 3,Supermarket Type2,Female,20,Artist,1018.674
FDB32,Low Fat,Fruits and Vegetables,93.9778,OUT035,Small,Tier 2,Supermarket Type1,Female,27,Engineer,2816.334
NCO06,Low Fat,Household,32.4558,OUT046,Small,Tier 1,Supermarket Type1,Male,56,Artist,101.8674
FDY44,Regular,Fruits and Vegetables,198.311,OUT046,Small,Tier 1,Supermarket Type1,Male,67,Artist,2553.343
FDG10,Regular,Snack Foods,58.2588,OUT045,,Tier 2,Supermarket Type1,Female,51,Artist,343.5528
FDF38,Regular,Canned,39.6138,OUT046,Small,Tier 1,Supermarket Type1,Male,49,Artist,365.5242
FDW59,Low Fat,Breads,85.9566,OUT019,Small,Tier 1,Grocery Store,Male,51,Artist,169.1132
FDP34,Low Fat,Snack Foods,155.563,OUT046,Small,Tier 1,Supermarket Type1,Female,26,Artist,4224.501
FDZ26,Regular,Dairy,239.8222,OUT017,,Tier 2,Supermarket Type1,Male,59,Entertainment,4063.3774
FDH17,Regular,Frozen Foods,97.0726,OUT019,Small,Tier 1,Grocery Store,Female,31,Entertainment,293.6178
FDU44,Regular,Fruits and Vegetables,161.0552,OUT017,,Tier 2,Supermarket Type1,Male,43,Executive,3411.5592
FDS23,Low Fat,Breads,128.2994,OUT049,Medium,Tier 1,Supermarket Type1,Male,59,Executive,2698.4874
DRE03,Low Fat,Dairy,48.5718,OUT018,Medium,Tier 3,Supermarket Type2,Female,35,Engineer,425.4462
FDY57,Regular,Snack Foods,95.0752,OUT045,,Tier 2,Supermarket Type1,Male,18,Healthcare,2588.6304
FDH50,Regular,Canned,185.2266,OUT027,Medium,Tier 3,Supermarket Type3,Female,48,Entertainment,5901.6512
DRY23,Regular,Soft Drinks,44.6112,OUT046,Small,Tier 1,Supermarket Type1,Female,88,Lawyer,511.3344
FDT27,Regular,Meat,232.8616,OUT035,Small,Tier 2,Supermarket Type1,Female,30,Healthcare,2812.3392
FDB38,Regular,Canned,158.792,OUT018,Medium,Tier 3,Supermarket Type2,Female,22,Healthcare,2556.672
FDY16,Regular,Frozen Foods,184.4266,OUT046,Small,Tier 1,Supermarket Type1,Male,66,Artist,3504.1054
FDG33,Regular,Seafood,173.4764,OUT010,,Tier 3,Grocery Store,Female,81,Engineer,171.7764
FDN04,Regular,Frozen Foods,180.4344,OUT018,Medium,Tier 3,Supermarket Type2,Female,36,Doctor,535.3032
FDJ48,Low Fat,Baking Goods,247.5118,OUT017,,Tier 2,Supermarket Type1,Male,30,Doctor,2470.118
NCC07,Low Fat,Household,104.0964,OUT045,,Tier 2,Supermarket Type1,Female,50,Engineer,525.982
FDI35,Low Fat,Starchy Foods,182.0634,OUT049,Medium,Tier 1,Supermarket Type1,Male,51,Artist,4544.085
DRH49,Low Fat,Soft Drinks,84.3592,OUT046,Small,Tier 1,Supermarket Type1,Male,66,Lawyer,743.0328
FDY51,Low Fat,Meat,220.0798,OUT046,Small,Tier 1,Supermarket Type1,Female,39,Engineer,4848.3556
NCG07,Low Fat,Household,191.253,OUT045,,Tier 2,Supermarket Type1,Female,28,Entertainment,2656.542
FDA22,Low Fat,Starchy Foods,165.2158,OUT046,Small,Tier 1,Supermarket Type1,Male,35,Executive,2840.9686
FDA33,Low Fat,Snack Foods,146.9076,OUT046,Small,Tier 1,Supermarket Type1,Female,50,Artist,2956.152
FDV03,Low Fat,Meat,154.6314,OUT013,High,Tier 3,Supermarket Type1,Male,27,Entertainment,1861.5768
FDP27,Low Fat,Meat,188.453,OUT045,,Tier 2,Supermarket Type1,Male,60,Marketing,4364.319
FDZ20,Low Fat,Fruits and Vegetables,253.4356,OUT049,Medium,Tier 1,Supermarket Type1,Male,52,Entertainment,2797.6916
FDR56,Regular,Fruits and Vegetables,199.0768,OUT049,Medium,Tier 1,Supermarket Type1,Male,32,Marketing,2759.0752
NCV41,LF,Health and Hygiene,109.3228,OUT027,Medium,Tier 3,Supermarket Type3,Female,42,Doctor,2431.5016
FDU11,Low Fat,Breads,121.0098,OUT035,Small,Tier 2,Supermarket Type1,Male,48,Entertainment,2530.7058
NCB30,Low Fat,Household,197.1084,OUT049,Medium,Tier 1,Supermarket Type1,Male,75,Lawyer,4761.8016
FDX23,Low Fat,Baking Goods,95.4436,OUT018,Medium,Tier 3,Supermarket Type2,Male,26,Homemaker,1229.0668
FDY24,Regular,Baking Goods,55.0298,OUT013,High,Tier 3,Supermarket Type1,Female,21,Healthcare,647.1576
FDZ37,Regular,Canned,88.5198,OUT013,High,Tier 3,Supermarket Type1,Female,53,Artist,261.6594
FDL10,Low Fat,Snack Foods,97.9042,OUT035,Small,Tier 2,Supermarket Type1,Male,32,Doctor,1686.4714
NCE18,Low Fat,Household,250.175,OUT046,Small,Tier 1,Supermarket Type1,Female,56,Doctor,2996.1
FDY60,Regular,Baking Goods,143.8128,OUT027,Medium,Tier 3,Supermarket Type3,Female,36,Artist,4458.1968
FDT24,Regular,Baking Goods,77.1328,OUT013,High,Tier 3,Supermarket Type1,Male,83,Lawyer,2239.7512
NCV06,Low Fat,Household,192.4478,OUT035,Small,Tier 2,Supermarket Type1,Male,42,Executive,2712.4692
FDP51,Regular,Meat,119.6124,OUT019,Small,Tier 1,Grocery Store,Female,66,Lawyer,592.562
FDU49,Regular,Canned,85.754,OUT035,Small,Tier 2,Supermarket Type1,Male,62,Executive,2163.85
FDQ16,LF,Frozen Foods,110.3912,OUT049,Medium,Tier 1,Supermarket Type1,Male,40,Executive,3275.736
FDV16,Regular,Frozen Foods,32.6558,OUT013,High,Tier 3,Supermarket Type1,Male,38,Artist,679.116
FDL36,Low Fat,Baking Goods,88.483,OUT018,Medium,Tier 3,Supermarket Type2,Male,18,Healthcare,988.713
FDE09,Low Fat,Fruits and Vegetables,111.5228,OUT027,Medium,Tier 3,Supermarket Type3,Female,62,Artist,1768.3648
NCV54,Low Fat,Household,116.6124,OUT035,Small,Tier 2,Supermarket Type1,Male,23,Healthcare,1540.6612
FDH27,Low Fat,Dairy,142.0128,OUT017,,Tier 2,Supermarket Type1,Female,56,,2588.6304
FDF33,LF,Seafood,108.4596,OUT035,Small,Tier 2,Supermarket Type1,Male,42,Artist,3020.0688
NCP18,Low Fat,Household,151.0708,OUT035,Small,Tier 2,Supermarket Type1,Female,32,Marketing,2858.9452
FDZ45,Low Fat,Snack Foods,200.4084,OUT018,Medium,Tier 3,Supermarket Type2,Female,28,Marketing,3968.168
FDU25,Low Fat,Canned,56.2246,OUT027,Medium,Tier 3,Supermarket Type3,Male,77,Lawyer,1737.738
FDQ40,Regular,Frozen Foods,175.8712,OUT010,,Tier 3,Grocery Store,Male,35,Executive,175.7712
DRD25,Low Fat,Soft Drinks,111.686,OUT019,Small,Tier 1,Grocery Store,Female,30,Healthcare,452.744
FDJ57,Regular,Seafood,186.5582,OUT010,,Tier 3,Grocery Store,Female,53,Engineer,185.7582
FDT43,Low Fat,Fruits and Vegetables,52.1324,OUT049,Medium,Tier 1,Supermarket Type1,Female,27,,934.7832
FDH44,Regular,Fruits and Vegetables,146.8418,OUT049,Medium,Tier 1,Supermarket Type1,Female,53,Entertainment,1765.7016
FDR31,Regular,Fruits and Vegetables,143.8102,OUT019,Small,Tier 1,Grocery Store,Male,52,Executive,291.6204
FDQ27,Regular,Meat,102.899,OUT018,Medium,Tier 3,Supermarket Type2,Male,29,Doctor,1651.184
